id,reason,title,reading,meaning_vi,raw_sample
N2-vocab-0444,title_not_contiguous_in_raw_pdf_split,略す,りゃくす,"Lược bỏ, viết tắt","意味 / 短く簡単にする / りゃく / 略 / す / ポイント / 単語、説明を__ / Lược bỏ, viết tắt / 例文 / ・国際連合を略して「国連」と言う。 / 使い分け / け / • / す: Xóa / 消 / りゃく / • / す:⻑い文字を短くする / 略"
N2-vocab-0445,title_not_contiguous_in_raw_pdf_split,覆う,おおう,Che phủ,• / す:⻑い文字を短くする / 略 / かく / かぶ / おお / 意味 / 隠 / すようになにかを被 / せる / 覆 / う / 例文 / ・テーブルをテーブルクロスで覆った。 / Che phủ / ・事故現場は目を覆いたくなるような、 / ひどい状態だった。
N2-vocab-0452,title_not_contiguous_in_raw_pdf_split,構う,かまう,"Quan tâm đến/ Để tâm, để ý","かま / 意味 / 1 気にする / 構 / う / ・ 「ちょっと用事で遅れますから、私に構わないで / 例文 / 会議を始めていてください」 / ・ ささいなことに構っていては、ものごとが / 進まない。 / Quan tâm đến/ / Để tâm, để ý / ポイント / 2 (お願いに対し)大丈夫です / 上司には ✘ / 「大丈夫です、どうぞ」○ / ・ 「このコピー機を使ってもいいですか」 / 「はい、"
N2-vocab-0454,title_not_contiguous_in_raw_pdf_split,潜る,もぐる,"Lặn, chui xuống","意味 / 全身(場所)に入ること / もぐ / 潜 / る / ポイント / (海/こたつ)にもぐる / Lặn, chui xuống / ・ 海に潜って貝や魚を捕ることができる。 / 例文"
N2-vocab-0455,title_not_contiguous_in_raw_pdf_split,埋まる,うまる,Bị vùi lấp/ Bị lấp đầy,1 (主に土)何かに覆われる / 意味 / う / 埋 / まる / 例文 / ・山が崩れて家がうまってしまった。 / 2 (日程、場所の)すきまがなくいっぱいにする / Bị vùi lấp/ / ・ 日程がぎっしり埋まっている / Bị lấp đầy / ・ 予約したかったが全席が埋まっていた
N2-vocab-0457,title_not_contiguous_in_raw_pdf_split,挟む,はさむ,"Kẹp vào, chèn vào/ Chen ngang","はさ / 意味 / 1 物と物の間に入れること / 挟 / む / 例文 / ・パンにハムと卵をはさむ。 / Kẹp vào, chèn vào/ / 2 何かをしている途中に別のものを入れること / Chen ngang / ・ 彼はすぐ人の話にはさむ。"
N2-vocab-0460,title_not_contiguous_in_raw_pdf_split,添える,そえる,"Thêm vào, kèm theo","そ / 意味 / メインの物のそばにサブとしてつけること / 添 / える / Thêm vào, kèm theo / 例文 / ・花束に(手紙/カード)を添えて贈る。"
N2-vocab-0461,title_not_contiguous_in_raw_pdf_split,散らかる,ちらかる,"Vương vãi, bừa bộn","Kiến thức / 物があちこちに広がって、汚い状態 / 意味 / ち / ポイント / だいたい / 散 / らかる / 「ている形」を使う / ・兄の部屋はいつも散らかってる。 / 例文 / Ø 他:散らかす / Vương vãi, bừa bộn / ・ 部屋を掃除しても、子どもがすぐに / 本やおもちゃを散らかしてしまう。"
N2-vocab-0462,title_not_contiguous_in_raw_pdf_split,抱える,かかえる,"Ôm, cầm trong tay/ Đối mặt với","1 落ちないように腕を回して持つこと / 意味 / かか / ポイント / 物、仕事を__ / 抱 / える / ・ 両手いっぱいにチョコを抱えている / 例文 / Ôm, cầm trong tay/ / 2 責任、問題を持つ / Đối mặt với / 仕事/悩み/問題...を__ / ・ 抱えている仕事が多い"
N2-vocab-0463,title_not_contiguous_in_raw_pdf_split,揃う,そろう,"Tập trung (Đầy đủ)/ Đồng bộ, thống nhất","1 足りなかった人、物が集まる / 意味 / そろ / 揃 / う / ・「全員がそろったので、出発しましょう」 / 例文 / 2 違うものを、全部を同じく合わせる / Tập trung (Đầy đủ)/ / Đồng bộ, thống nhất / ・ カーテンとカーペットの色がそろっていると、 / 部屋がきれいに見える。 / ・ みんなの意見がなかなかそろわない。 / 関連語彙 / 他: 揃える / 例文:"
N2-vocab-0465,title_not_contiguous_in_raw_pdf_split,隠れる,かくれる,"Trốn, ẩn náu","見えないようにすること / 意味 / かく / 隠 / れる / ・逃げた犯人は空き家に隠れていた。 / 例文 / Trốn, ẩn náu / 関連語彙 / 他: 隠す(Che,Giấu) / • / 例文: / → お金を引き出しの奥に隠した。 / → 風が強いので彼女のスカートがめくれたが、すぐ顔を隠してしまった。 / 見ればよかったー。"
N2-vocab-0468,title_not_contiguous_in_raw_pdf_split,似る,にる,Giống,に / ほとんど同じこと / 意味 / 似 / る / ・ 彼女は母親に目がよく似ている。 / 例文 / ・ 「違う」と「異なる」は言葉の意味が似ている / Giống
N2-vocab-0469,title_not_contiguous_in_raw_pdf_split,崩れる,くずれる,"Đổ vỡ, đổ nhào/ Phá (tiền chẵn → lẻ, đội hình)","1 大きくまとまった形をし、安定していた / 意味 / くず / ものが、支える力を失ってこわれる / 崩 / れる / Đổ vỡ, đổ nhào/ / ・ 大雨で山が崩れた。 / 例文 / Phá (tiền chẵn → lẻ, / きず / しんらい / いっしゅん / ・ ある出来事で、今まで築 / で / いてきた信頼 / が一瞬 / đội hình) / 崩れた / 2 大きいお金を細かいお金に交換する / 関連語彙 / "
N2-vocab-0470,title_not_contiguous_in_raw_pdf_split,睨む,にらむ,Lườm,にら / 怖い目つきで見ること / 意味 / 睨 / む / ミーティングで資料を間違えた時、 / 例文 / Lườm / 課⻑から睨まれた気がした...
N2-vocab-0471,title_not_contiguous_in_raw_pdf_split,屈む,かがむ,"Khom lưng, cúi gập người","Kiến thức / かか / 意味 / 腰や足を曲げて姿勢を低くすること / 屈 / む / 例文 / ・「後ろの背景が見えないので、少しかがんで / Khom lưng, cúi gập / もらえますか。あ!いい感じです。」 / người / くっしん / Ø 類:屈伸"
N2-vocab-0478,title_not_contiguous_in_raw_pdf_split,扱う,あつかう,"Thao tác/ Xử lý, bán/ Đối phó, giải quyết","あつか / 意味 / 1 試合、会場から出て行くこと / 扱 / う / ・ これは壊れやすいので、丁寧に扱ってください。 / 例文 / 2 仕事として処理する / Thao tác/ / ・ うちの会社では主にベトナム食品を / Xử lý, bán/ / 扱っています。 / Đối phó, giải quyết / 3 ある身分・役割・状態を決めて接すること / ・ 高校生からはこどもとしてではなく大人とし"
N2-vocab-0480,title_not_contiguous_in_raw_pdf_split,恵まれる,めぐまれる,Được ban cho,意味 / いいもの、環境を与えられる / めぐ / ポイント / いい家族/天気/環境に__ / 恵 / まれる / Được ban cho / 例文 / ・いい仲間に恵まれていて幸せだな〜
N2-vocab-0489,title_not_contiguous_in_raw_pdf_split,依頼する,いらいする,Nhờ vả,意味 / 人に仕事を丁寧に頼むこと / いらい / 依頼 / する / 例文 / ・お客さんとの信頼関係を築くために安い案件 / ではあるものの、依頼を引き受けた。 / Nhờ vả
N2-vocab-0492,title_not_contiguous_in_raw_pdf_split,威張る,いばる,"Ba hoa, khoác lác","意味 / えらそうにすること / い / ば / 威張 / る / ポイント / 他人を批判する時に使う / 例文 / ・課⻑は仕事はできるけど、いつも威張っているので / Ba hoa, khoác lác / 好きになれない。"
N2-vocab-0494,title_not_contiguous_in_raw_pdf_split,一致する,いっちする,"Giống nhau, thống nhất","いっち / 意味 / 2つ以上のもとがぴったり1つになる / 一致 / する / 100%同じこと / 意見と行動が__ / Giống nhau, / 二人の意見が__ / thống nhất / ・ 彼女は言っていることとしていることが一致して / 例文 / いない。 / ・ 性格の不一致 / ・ 言動の不一致"
N2-vocab-0496,title_not_contiguous_in_raw_pdf_split,参る,まいる,"Đi, viếng thăm (khiêm nhường ngữ)/ Thua, đầu hàng","まい / 意味 / 1 行きますの謙譲語 / 参 / る / ・ 明日、お宅へまいります。 / 例文 / →行きます / ・ 「クイズ番組で」 / では次の問題に参ります! / ご覧の図を見て答えてください。 / Đi, viếng thăm (khiêm / nhường ngữ)/ / 2 負けること・降参すること / Thua, đầu hàng / ・ もう勝てません。参りました。 / →負けました。 / Ø 会話で"
N2-vocab-0501,title_not_contiguous_in_raw_pdf_split,済ます,すます,Hoàn tất,"Kiến thức / 意味 / しなければならないことを完了すること / す / 済 / ます / 仕事・用事を__ / 例文 / ・(光熱費・電気代)の支払いを済ませる。 / Hoàn tất / ・ 今の仕事を済ましてからそちらへ向かいます。 / 30 分後になりそうです。 / 関連語彙 / 連: / • / で済む (Cũng xong, cũng được) / 例文:今日の昼食は{300 円/パン}ですませた"
N2-vocab-0502,title_not_contiguous_in_raw_pdf_split,怠ける,なまける,"Làm biếng, lười","例文:今日は暖かいから、コートを着ないですんだ。 / なま / 意味 / やる気がなくて頑張らない。 / 怠 / ける / Làm biếng, lười / ・最近勉強、なまけてるんじゃない? / 例文 / ・そんなに怠けていると、後で後悔するよ! / なまけもの / Ø 類:怠け者"
N2-vocab-0503,title_not_contiguous_in_raw_pdf_split,調整する,ちょうせいする,Điều tiết,意味 / ある基準に合わせて、いい状態に変えること / ちょうせい / 調整 / する / ・ A:「水曜の午後3 時はご都合いかがですか?」 / 例文 / B:「3 日の15 時ですね。はい、スケジュールを / 調整してみます。」 / Điều tiết / ・ ちょっとうるさいからボリューム / 調整してくれない? / Ø ボリューム≒音量
N2-vocab-0504,title_not_contiguous_in_raw_pdf_split,貢献する,こうけんする,Cống hiến,こうけん / 意味 / あることに役立つように頑張ること / 貢献 / する / 例文 / ・彼のゴールはチームの勝利に大きく貢献しました。 / Cống hiến / ・ 会社の売上に貢献したいと考えております。
N2-vocab-0505,title_not_contiguous_in_raw_pdf_split,備える,そなえる,"Chuẩn bị, phòng bị","意味 / 不安をなくすために、準備する。 / そな / 備 / える / 災害、将来に+__ / Chuẩn bị, phòng bị / 例文 / ・災害に備えよう"
N2-vocab-0510,title_not_contiguous_in_raw_pdf_split,寛ぐ,くつろぐ,"Nghỉ ngơi, thư giãn","くつろ / 意味 / 心も体ものんびり、ゆっくりとして休むこと / 寛 / ぐ / 例文 / ・友達の家で自分の家のようにくつろぐ。 / Nghỉ ngơi, thư giãn"
N2-vocab-0511,title_not_contiguous_in_raw_pdf_split,儲ける,もうける,"Kiếm tiền, kiếm lời","Kiến thức / 意味 / 予想以上に大きな利益が出てお金を得ること / もう / 例文 / ・広告:「株で1億円儲けました! / 儲 / ける / みなさんも可能です!どうですか?」 / →そういう儲け話は怪しい100%詐欺 / Kiếm tiền, kiếm lời"
N2-vocab-0512,title_not_contiguous_in_raw_pdf_split,控える,ひかえる,"1. Kiềm chế, điều độ 2. Chờ đợi đến lượt Chuẩn bị, sắp","意味 / 1 度を越さないように、 / 分量・度数などを少なめにおさえる / ひか / 控 / える / 例文 / (お医者さんが患者に向かって) / ・ しばらくは体重管理をされたほうがいいので、 / 糖分は控えてください。 / 1. Kiềm chế, điều độ / 2. Chờ đợi đến lượt / Chuẩn bị, sắp / 意味 / 2 順番が来るまで、ある場所に居て待つ〜始まる / 前の"
N2-vocab-0514,title_not_contiguous_in_raw_pdf_split,改める,あらためる,"Làm lại/ Sửa đổi, cải thiện","しかし、成功したものは必ず努力している。 / あらた / 意味 / 1 新しくする / 改 / める / 例文 / ・ 会社の名前を「○○」から「△△」に改めた。 / Làm lại/ / Sửa đổi, cải thiện / 意味 / 2 もう一度〜をする / 例文 / ・ 「今日はお忙しいようですから、 / また日を改めてご相談に伺います」"
N2-vocab-0518,title_not_contiguous_in_raw_pdf_split,雇う,やとう,Thuê,"→負ける < 敗れる < 敗北する (丁寧度) / Thua, bị đánh bại / やと / 意味 / 採用する / 雇 / う / 例文 / Thuê / ・ ABC 会社の事務員として雇われることになった。"
N2-vocab-0519,title_not_contiguous_in_raw_pdf_split,恐れる,おそれる,"Lo sợ, e ngại","意味 / 危険を感じて不安になること / おそ / 恐 / れる / よくないことが起きると心配すること / 例文 / ・ 「失敗を恐れていては何もできないよ」 / Lo sợ, e ngại / 使い分け / おそ / 恐 / れる: 客観的冷静に見ている感じ。自分に直接危害が加えられない時。 / • / こわ / 怖 / がる: 主観的驚いてる危険なものが目の前に現れた感じ / •"
N2-vocab-0520,title_not_contiguous_in_raw_pdf_split,適する,てきする,Thích hợp,てき / 意味 / 目的・条件などによく合っていること / 適 / する / ポイント / 類:向く / 例文 / ・ 新しい会長には、田中さんが最も適している。 / Thích hợp
N2-vocab-0526,title_not_contiguous_in_raw_pdf_split,尋ねる,たずねる,"Chạm, tiếp xúc/ Hỏi","たず / 意味 / わからないことを人に聞くこと / 尋 / ねる / ポイント / 丁寧に質問する / 例文 / Chạm, tiếp xúc/ / ・ 「ちょっとお尋ねしたいのですが...」 / Hỏi / ポイント / 診療時間を聞く / 道を聞く / 例文 / A: 先日お尋ねした件ですが、うまくできますか。 / B: おかげさまで、順調に進んでいます。"
N2-vocab-0527,title_not_contiguous_in_raw_pdf_split,焦げる,こげる,"Bị cháy, cháy","B: おかげさまで、順調に進んでいます。 / こ / 意味 / 火や熱で焼けて、黒や茶色になること / 焦 / げる / ポイント / 料理の場面によく使う / 例文 / ・ お好み焼きがいい感じで焼けていると思って / Bị cháy, cháy / ひっくり返したら、真っ黒に焦げていた。"
N2-vocab-0529,title_not_contiguous_in_raw_pdf_split,広まる,ひろまる,Được lan truyền,量 / る: 重さなど / • / ひろ / 意味 / 広く行きわたること / 広 / まる / ポイント / 〜の技術/仏教/習慣/話が__ / 例文 / ・ そのうわさは1日で会社中に広まった。 / Được lan truyền / 関連語彙 / 他:を広める / ・ アイドルA さんの素晴らしさを、自分の手で『他国にも広めたい』 / → ≒有名にさせたい
N2-vocab-0534,title_not_contiguous_in_raw_pdf_split,暴れる,あばれる,"Quấy, làm rùm beng","あば / 意味 / 乱暴な行動をすること / 暴 / れる / 例文 / ・ お祭りで象が大暴れ...会場パニック!17 人負傷 / Quấy, làm rùm beng / ・ 弟は気が短く、子どものころは / いつも暴れて、よく物を壊したものだ。"
N2-vocab-0544,title_not_contiguous_in_raw_pdf_split,祈る,いのる,Cầu nguyện,例文 / ・ 礼儀正しい彼は上司にかわいがられている。 / いの / 意味 / 神様に対してお願いをすること / 祈 / る / 例文 / ・ 家族の健康を神さまに祈った。 / Cầu nguyện
N2-vocab-0550,title_not_contiguous_in_raw_pdf_split,恨む,うらむ,"Hận, căm ghét","意味 / 嫌なことをしてきた相手 / うら / 恨 / む / をにくく思い続けること / 例文 / ・ 私は今でも、私をいじめた同級生を恨んでいる。 / Hận, căm ghét"
N2-vocab-0557,title_not_contiguous_in_raw_pdf_split,脅かす,おどかす,Hù dọa,例文 / ・ やけどを負う。 / おど / 意味 / 1 味方だった人が敵になること / 脅 / かす / 例文 / ・ A:「今日、試験だよ」 / B:「えっ!」 / Hù dọa / A:「うそだよ」 / B:「なんだ、脅かさないでよ」 / 使い分け / おびや / ・脅 / かす:驚かせるという意味 / おど / ・脅 / す:脅迫するという意味
N2-vocab-0558,title_not_contiguous_in_raw_pdf_split,近寄る,ちかよる,"Tới gần, lại gần Tiếp cận, đến gần (để làm quen)","ちかよ / 意味 / 1 近くに寄ること / 近寄 / る / 例文 / ・ 物音がしたので窓に近寄って外を見た。 / Tới gần, lại gần / 意味 / Tiếp cận, đến gần (để / 2 仲良くなるようにすること / làm quen) / 例文 / ・ 最近彼女がきれいになった。 / 変な男が近寄らないように気をつけないと...。"
N2-vocab-0559,title_not_contiguous_in_raw_pdf_split,占める,しめる,Chiếm,変な男が近寄らないように気をつけないと...。 / し / 意味 / 全体の中である割合をもつこと / 占 / める / ポイント / 「%」とセットで使うことが多い / 例文 / ・ 60代が(~%)を占めている / Chiếm / ・ この会社の製品は、市場の8 割 / を( )いる。 / ・ 部屋の真ん中をベッドが占めている。
N2-vocab-0564,title_not_contiguous_in_raw_pdf_split,支える,ささえる,"Ủng hộ, chống đỡ","→ 普通とは少し違うこと(悪い意味) / ささ / 意味 / 倒れたり、落ちたりしないように抑えること / 支 / える / 例文 / ・ つえで体を支えて歩く。 / ・ 苦しいとき、支えてくれる大事な人 / Ủng hộ, chống đỡ"
N2-vocab-0565,title_not_contiguous_in_raw_pdf_split,頼る,たよる,Phụ thuộc,意味 / たよ / 頼んで助けにすること / 頼 / る / 例文 / ・ 学費を親に頼らず、自分で働いてなんとかする。 / Phụ thuộc
N2-vocab-0566,title_not_contiguous_in_raw_pdf_split,逆らう,さからう,Ngược lại/Chống đối,意味 / 1 自然の方向に従わないで、その反対方向 / さか / 逆 / らう / に進もうとすること / 例文 / ・ 風に逆らって走る。 / Ngược lại/Chống đối / 意味 / 2 目上の人の意見に従わないこと / ポイント / 目上の人に_ / 例文 / ・ 親に逆らって留学することにした。
N2-vocab-0567,title_not_contiguous_in_raw_pdf_split,捻る,ひねる,"1. Vặn 2. Vặn, xoay (cơ thể) 3. Vắt (óc)","ひね / 意味 / 1 指でつまんで回すこと / 捻 / る / ポイント / 蛇口を_ / 例文 / ・ 蛇口をひねるとオレンジジュースが出てきた。 / 1. Vặn / 2. Vặn, xoay (cơ thể) / 意味 / 2 体の一部の方向を変える / 3. Vắt (óc) / ポイント / 足首 / 例文 / ・ ジョギングしている時に足首を / ひねってしまった。 / ・ 首をひねる / 意味 / 3 わざと変わった考え方を"
N2-vocab-0568,title_not_contiguous_in_raw_pdf_split,静まる,しずまる,"Lắng xuống, dịu đi","しず / 意味 / 物音がやんで、静かになること / 静 / まる / 例文 / ・ 先生が入ってくると、教室がシーンと静まった。 / Lắng xuống, dịu đi"
N2-vocab-0570,title_not_contiguous_in_raw_pdf_split,憧れる,あこがれる,"Ngưỡng mộ, thần tượng 例文","あこが / 意味 / こんな風になりたい!と思うこと / 憧 / れる / ポイント / すごい人に_ / Ngưỡng mộ, thần tượng 例文 / ・ アイドルにあこがれる。 / ポイント / 住みたい、行きたい場所に_ / 例文 / ・ 子どものころ、田舎に住んでいた私は / 華やかな都会にあこがれていた。 / →華やかな:目立つ、明るく美しい"
N2-vocab-0572,title_not_contiguous_in_raw_pdf_split,設ける,もうける,1. Tạo ra,"意味 / 1 ある目的のために作り出す / もう / 設 / ける / ポイント / 〜のために窓口、事務所を_ / 例文 / ・ 児童福祉課では、親の悩みに応えるための / 1. Tạo ra / 相談窓口を設けている。 / 2. Trang bị, chuẩn bị / 意味 / 2 〜のために準備する、作る / 3. Thiết lập / ポイント / 場/機会/時間を_ / 例文 / ・ その話は詳しく聞きたいので、別"
N2-vocab-0576,title_not_contiguous_in_raw_pdf_split,呼び止める,よびとめる,Gọi lại,ほんとむかつく!」 / よ / と / 意味 / 声をかけて止まらせること / 呼 / び止 / める / 例文 / ・ 帰ろうとしたら、友達に呼び止められた。 / Gọi lại
N2-vocab-0577,title_not_contiguous_in_raw_pdf_split,仕上げる,しあげる,"Hoàn thiện, hoàn thành","意味 / 100%完成させること / し / あ / 仕上 / げる / ポイント / 主語が「人」 / 途中までできているものを完成させる / 例文 / ・ 「この仕事は月末までに仕上げてください」 / Hoàn thiện, hoàn thành / ・ 恋人にあげるマフラーがやっと仕上がった。"
N2-vocab-0578,title_not_contiguous_in_raw_pdf_split,割り込む,わりこむ,"Chen vào, xen ngang","わ / こ / 意味 / 無理に入り込むこと / 割 / り込 / む / ポイント / 列を_ / 例文 / Chen vào, xen ngang / ・ 並んでいたのに、急に割り込んできた。 / ポイント / 話の途中に_ / 例文 / ・ 私が話していると、いつも割り込んで / 自分の話をしてくる。"
N2-vocab-0579,title_not_contiguous_in_raw_pdf_split,差し支える,さしつかえる,"Gây cản trở, làm phiền","自分の話をしてくる。 / さ / つか / 意味 / 問題になる・迷惑になること / 差 / し支 / える / 例文 / ・ 差し支えなければ、お電話番号 / Gây cản trở, làm phiền / を教えていただけますか? / ・ ご迷惑でなければ、(私の)話を聞いていただけ / ますか。"
N2-vocab-0580,title_not_contiguous_in_raw_pdf_split,買い占める,かいしめる,Mua hết,か / し / 意味 / ある物を1人で全部買うこと / 買 / い占 / める / 例文 / ・ スーパーにあるHaohao を全部買い占めた。 / Mua hết
N2-vocab-0581,title_not_contiguous_in_raw_pdf_split,思い切る,おもいきる,Quyết định,Kiến thức / 意味 / 考えていたことを決めて、覚悟をすること / おも / き / 思 / い切 / る / ポイント / 大きなことを決める時によく使う / 思い切って〜する / 例文 / ・ 10年間伸ばした髪を思い切って短く切ること / Quyết định / にした。
N2-vocab-0582,title_not_contiguous_in_raw_pdf_split,振り向く,ふりむく,"Ngoảnh mặt, quay lại","意味 / 振り返って見ること / ふ / む / 振 / り向 / く / ポイント / ふ / かえ / ≒振 / り返 / る (過去を+振り返る≒思い出す) / 例文 / ・ 名前を呼ばれて振り向いた。 / Ngoảnh mặt, quay lại"
N2-vocab-0583,title_not_contiguous_in_raw_pdf_split,思いつく,おもいつく,Nghĩ ra,意味 / ある考えが頭にうかぶこと / おも / 思 / いつく / ポイント / アイディア/ 考え/方法を__ / Nghĩ ra / 例文 / ・「あ!あれをすればいいか!」彼は、彼女への / いい誕生日サプライズを思いついた。 / ・ なかなかいい方法が( )な
N2-vocab-0584,title_not_contiguous_in_raw_pdf_split,引き止める,ひきとめる,"Kéo lại, níu kéo","ひ / と / 意味 / どこかへ行く人を止まらせること / 引 / き止 / める / ポイント / (人)を__ / Kéo lại, níu kéo / 例文 / ・ 会社を辞めたがっている同僚を、 皆で引き止めた"
N2-vocab-0586,title_not_contiguous_in_raw_pdf_split,飛び散る,とびちる,Bay lả tả,例文 / ・ お金の不安を打ち消すには? / と / ち / 意味 / 何かが勢いよくあちこちに飛んでばらばらに散る / 飛 / び散 / る / 例文 / はへん / ・ グラスが割れ、破片 / が飛び散った。 / Bay lả tả
N2-vocab-0587,title_not_contiguous_in_raw_pdf_split,乗り継ぐ,のりつぐ,Đổi chuyến,の / つ / 意味 / 乗り物を降りて、次の乗り物に乗ること / 乗 / り継 / ぐ / ポイント / (乗り物)を__ / 例文 / ・韓国で飛行機を(乗り継いで 乗り越えて) / Đổi chuyến / 日本へきました。 / の / こ / 類義語 乗 / り越 / える / ・ 危機/壁/困難を+乗り越える / ・ 電車、バスを乗り換える / の / す / 乗 / り過 / ごす / ・ (降りるべき駅で降りず、過ぎてしまった時)あ!やばっ!
N2-vocab-0590,title_not_contiguous_in_raw_pdf_split,打ち明ける,うちあける,"Bật mí, hé lộ","う / あ / 意味 / 秘密にしていたことを話すこと / 打 / ち明 / ける / ポイント / 秘密・過ち・悩み__ / 例文 / ・過去の失敗を友達に打ち明けたら、心が軽くなった / Bật mí, hé lộ"
